identifier,title_initial_article,title,date_text,date_single_start,date_end,date_qualifier,public_note,name,name_role,name_role_URI,name_type,abstract,subject_geographic,subject_geographic_URI,subject_geographic_coordinates,subject_geographic_DOTS,subject_geographic1,subject_geographic_URI1,subject_geographic_coordinates1,subject_geographic2,subject_geographic_URI2,subject_geographic_coordinates2,subject_geographic_DOTS2,subject_geographic3,subject_geographic_URI3,subject_geographic_coordinates3,subject_geographic_DOTS3,subject_geographic4,subject_geographic_URI 4,subject_geographic_coordinates 4,subject_geographic_DOTS 4,subject_geographic5,subject_geographic_URI 5,subject_geographic_coordinates 5,subject_geographic_DOTS 5,subject_geographic6,subject_geographic_URI6,subject_geographic_coordinates 6,subject_geographic_DOTS6,subject_geographic7,subject_geographic_coordinates7,subject_geographic_DOTS7,subject_geographic8,subject_geographic9,subject_geographic_coordinates9,subject_geographic_DOTS9,subject_geographic10,subject_topical2,subject_topical_URI2,subject_topical_DOTS2,subject_topical3,subject_topicals_URI3,subject_topical_DOTS3,subject_topical4,subject_topical_DOTS4,subject_topical5,subject_topical_DOTS5,subject_topical6,subject_topical_URI 6,subject_topical_DOTS6,subject_topical7,subject_topical_DOTS 7,subject_topical8,subject_topical_URI 8,subject_topical_DOTS 8,subject_topical9,subject_topical_URI 9,subject_topical_DOTS 9,subject_topical10,subject_topical_URI 10,subject_topical_DOTS 10,subject_topical11,subject_topical_URI 11,subject_topical_DOTS 11,subject_topical12,subject_topical_URI 12,subject_topical_DOTS 12,subject_topical13,subject_topical_URI 13,subject_topical14,subject_topical_URI 14,subject_topical_DOTS 14,subject_topical15,subject_topical_URI 15,subject_topical_DOTS 15,subject_name,subject_name_type,subject_name2,subbject_name_type 2,subject_name_DOTS 2,subject_name3,subject_name_type 3,subject_name4,subject_name_type 4,subject_name5,subject_name_type 5,subject_name6,subject_name_type 6,subject_name7,subject_name_type 7,subject_name8,subject_name_type 8,subject_name9,subject_name_type 9,stubject_name_DOTS 9,subject_name10,subject_name_type 10,subject_name_DOTS 10,subject_name11,subject_name_type 11,subject_name_DOTS 11,subject_name12,subject_name_type 12,subject_name13,subject_name_type 13,subject_name_DOTS 13,subject_name14,subject_name_type 14,subject_name_DOTS 14,rights,repository,content_source,collection,collection_identifier,item_type,form,form_URI,language,digital_origin,language_cataloging,project
Dunn-Oliver Journal 1 Front Cover-Back Cover,,50 Years in Cades Cove. Memoir 1,unknown,1730,1983,inferred,Dates inferred from collection dates.,"Oliver, John W.",Creator,http://id.loc.gov/vocabulary/relators/cre,personal,"The first memoir is a handwritten account of the history of Cades Cove from its settlement in 1818 to the early 1900s, when the journal was written. The history mostly follows the Oliver Family, which are the ancestors of John W. Oliver, the writer of the journal. The journal deals with the genealogy of the Olivers in Cades Cove and of some of the other prominent families of the area, such as the Cables, the Tiptons, and the Burchfields. The author goes into personal accounts of his childhood in the Cove up through his adulthood. He also talks about his sons and their professions.",Cades Cove (Tenn.),http://id.loc.gov/authorities/subjects/sh85018626,"35.59426N, 83.84184W",Cades Cove,Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343N, 83.50822W",Elijah Oliver Cabin,,"35.60981N, 83.7949W",Elijah Oliver Cabin,John Oliver Cabin,,"35.60981N, 83.7949W",John Oliver Cabin,Cades Cove Primitive Baptist Church (Tenn.),,"35.60203N, 83.81351W",,Primitive Baptist Cemetary,,,,,,,,Cades Cove Post Office,,,,,,,,Post office stations and branches,http://id.loc.gov/authorities/subjects/sh85105505,Post offices,Church buildings,http://id.loc.gov/authorities/subjects/sh85025854,Churches,Cades Cove (Tenn.)--History,Cades Cove--History,"Cades Cove (Tenn.)--Buildings, structures, etc.",Cades Cove--Structures,Mountain life,http://id.loc.gov/authorities/subjects/sh85087783,Mountain life,Mountain people--Geneology,Mountain people--Geneology,Pioneers--Family relationships,,Pioneer families,Farms,http://id.loc.gov/authorities/subjects/sh85047299,Farms,Orchards,http://id.loc.gov/authorities/subjects/sh85095323,Orchards,"United States--History--Revolution, 1775-1783",http://id.loc.gov/authorities/subjects/sh85140139,Revolutionary War,"United States--History--Civil War, 1861-1865",http://id.loc.gov/authorities/subjects/sh85140205,Civil War,United States--History--War of 1812,http://id.loc.gov/authorities/subjects/sh85140194,Handicraft,http://id.loc.gov/authorities/subjects/sh85058715,Handicrafts,Weaving,http://id.loc.gov/authorities/subjects/sh85145868,Weaving--Textiles,Oliver Family,corporate,Burchfield Family,corporate,,Tipton Family,corporate,Gregory Family,corporate,Shields Family,corporate,Cable Family,corporate,,,,,"Oliver, John",personal,John Oliver,"Oliver, John W.",personal,,"Oliver, Lucretia",personal,,"Oliver, Elijah",personal,"Tipton, William",personal,William Tipton,"Cable, Peter",personal,Peter Cable,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Dunn-Oliver Collection, 1730-1983",MS.3690,text,manuscripts (document genre),http://vocab.getty.edu/aat/300028569,eng,reformatted digital,eng,50 Years in Caves Code
Dunn-Oliver Journal 2 Front Cover - Back Cover,,50 Years in Cades Cove. Memoir 2,unknown,1730,1983,inferred,Dates inferred from collection dates.,"Oliver, John W.",Creator,http://id.loc.gov/vocabulary/relators/cre,personal,"The second memoir gives a brief overview of the lives of John P. Cable, Robert Burchfield, Russell Gregory, and notable members of their families. The author provides accounts of the improvements to the Cove that they left behind, such as the Cable Mill, the first store house, and the first dry goods store. The memoir gives genealogical information and the names of Cades Cove residents who fought in the Civil War, along with their army affliation. The author writes about the history of Muster Field and the first post office in the Cove.",Cades Cove (Tenn.),http://id.loc.gov/authorities/subjects/sh85018626,"35.59426N, 83.84184W",Cades Cove,Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343N, 83.50822W",Gregory Bald,,"35.52064N, 83.86601W",Gregory Bald,Muster Field,,,,Elijah Oliver Cabin,,"35.60981N, 83.7949W",Elijah Oliver Cabin,John Oliver Cabin,,"35.60981N, 83.7949W",John Oliver Cabin,Cades Cove Post Office,,,,Cades Cove Primitive Baptist Church (Tenn.),"35.60203N, 83.81351W",,Primitive Baptist Cemetary,John P. Cable Mill,"35.58511N, 83.84447W",Cable Mill,Gregory Farm,Post office stations and branches,http://id.loc.gov/authorities/subjects/sh85105505,Post offices,Church buildings,http://id.loc.gov/authorities/subjects/sh85025854,Churches,Cades Cove (Tenn.)--History,Cades Cove--History,"Cades Cove (Tenn.)--Buildings, structures, etc.",Cades Cove--Structures,Mountain life,http://id.loc.gov/authorities/subjects/sh85087783,Mountain life,Mountain people--Geneology,Mountain people--Geneology,Pioneers--Family relationships,,Pioneer families,Farms,http://id.loc.gov/authorities/subjects/sh85047299,Farms,Great Smoky Mountains National Park (N.C. and Tenn.)--Boundaries--Cades Cove (Tenn.),,,,,,"United States--History--Civil War, 1861-1865",http://id.loc.gov/authorities/subjects/sh85140205,Civil War,,,,,,,,,Oliver Family,corporate,Burchfield Family,corporate,,Tipton Family,corporate,Gregory Family,corporate,Shields Family,corporate,Cable Family,corporate,,,,,"Cable, John P.",personal,John P. Cable,"Burchfield, Robert",personal,,"Burchfield, Noah",personal,,"Cable, Casper",personal,"Gregory, Russell",personal,,"Cable, Peter",personal,Peter Cable,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Dunn-Oliver Collection, 1730-1984",MS.3691,text,manuscripts (document genre),http://vocab.getty.edu/aat/300028569,eng,reformatted digital,eng,50 Years in Caves Code
Dunn-Oliver Journal 3 Front Cover - Back Cover,,50 Years in Cades Cove. Memoir 3,unknown,1730,1983,inferred,Dates inferred from collection dates.,"Oliver, John W.",Creator,http://id.loc.gov/vocabulary/relators/cre,personal,"The third memoir gives details about the families of the Shields, Tiptons, Lawsons, Byrds, Dunns, and Olivers who lived in Cades Cove. This memoir has extensive genealogical information. Half of the memoir consists of family trees of the Shields family. The third memoir gives more background to the Oliver family, tracing its roots to England and providing information about the family coat of arms.",Cades Cove (Tenn.),http://id.loc.gov/authorities/subjects/sh85018626,"35.59426N, 83.84184W",Cades Cove,Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343N, 83.50822W",Chestnut Flats,,"35.60842N, 83.70128W",Chestnut Flats,George W. Powell Place,,,,Shields Place,,,,Forge Creek,,"35.58509N, 83.8449W",,Abrams Creek,,"35.59339N, 83.84839W",Abrams Creek,Cades Cove Primitive Baptist Church (Tenn.),"35.60203N, 83.81351W",,Primitive Baptist Cemetary,,,,,,,,,,,Cades Cove (Tenn.)--History,Cades Cove--History,"Cades Cove (Tenn.)--Buildings, structures, etc.",Cades Cove--Structures,Mountain life,http://id.loc.gov/authorities/subjects/sh85087783,Mountain life,Mountain people--Geneology,Mountain people--Geneology,Pioneers--Family relationships,,Pioneer families,Farms,http://id.loc.gov/authorities/subjects/sh85047299,Farms,Orchards,http://id.loc.gov/authorities/subjects/sh85095323,Orchards,"United States--History--Revolution, 1775-1783",http://id.loc.gov/authorities/subjects/sh85140139,Revolutionary War,"United States--History--Civil War, 1861-1865",http://id.loc.gov/authorities/subjects/sh85140205,Civil War,,,,,,,,,Oliver Family,corporate,Burchfield Family,corporate,,Tipton Family,corporate,Gregory Family,corporate,Shields Family,corporate,Byrd Family,corporate,Dunn Family,corporate,Lawson Family,corporate,"Oliver, John",personal,John Oliver,"Tipton, William",personal,William Tipton,"Shields, Robert",personal,Robert Shields,,,,,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Dunn-Oliver Collection, 1730-1985",MS.3692,text,manuscripts (document genre),http://vocab.getty.edu/aat/300028569,eng,reformatted digital,eng,50 Years in Caves Code
Dunn-Oliver IMG0001,,Aunt Sarah and Uncle Noah,Circa 1925,1925,,approximate,,Unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,,"""Uncle Noah and Aunt Sarah Burchfield 83 and 81""",Cades Cove (Tenn.),http://id.loc.gov/authorities/subjects/sh85018626,"35.59426N, 83.84184W",Cades Cove,Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343N, 83.50822W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cades Cove (Tenn.)--History,Cades Cove--History,,,,,,Mountain people--Geneology,Mountain people--Geneology,Pioneers--Family relationships,,Pioneer families,,,,,,,,,,,,,,,,,,,,,Oliver Family,corporate,Burchfield Family,corporate,,"Burchfield, Noah",personal,"Burchfield, Sarah",personal,,,,,,,,,,,,,,,,,,,,,,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Dunn-Oliver Collection, 1730-1986",MS.3693,image,photographs,http://vocab.getty.edu/aat/300046300,zxx,reformatted digital,eng,50 Years in Caves Code
Dunn-Oliver IMG0002,The ,Old John Oliver Homestead,Circa 1925,1925,,approximate,,Unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,,"""The Old John Oliver Homestead of early days. First Permanent white settlement of Cades Cove, 1817-1818""",Cades Cove (Tenn.),http://id.loc.gov/authorities/subjects/sh85018626,"35.59426N, 83.84184W",Cades Cove,Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343N, 83.50822W",,,,,John Oliver Cabin,,"35.60981N, 83.7949W",John Oliver Cabin,,,,,,,,,,,,,,,,,,,,,,,,,,,Cades Cove (Tenn.)--History,Cades Cove--History,"Cades Cove (Tenn.)--Buildings, structures, etc.",Cades Cove--Structures,,,,Mountain people--Geneology,Mountain people--Geneology,Pioneers--Family relationships,,Pioneer families,Farms,http://id.loc.gov/authorities/subjects/sh85047299,Farms,,,,,,,,,,,,,,,,,,Oliver Family,corporate,"Oliver, John",personal,John Oliver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Dunn-Oliver Collection, 1730-1987",MS.3694,image,photographs,http://vocab.getty.edu/aat/300046300,zxx,reformatted digital,eng,50 Years in Caves Code
Dunn-Oliver IMG0003,,Old Home of George W. and Aunt Ann Powell,Circa 1925,1925,,approximate,,Unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,,"""Old Hone of George W. and Aunt Ann Powell in Chestnutt Flats, a suburb of Cades Cove. It's history can never be written.""",Cades Cove (Tenn.),http://id.loc.gov/authorities/subjects/sh85018626,"35.59426N, 83.84184W",Cades Cove,Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343N, 83.50822W",Chestnut Flats,,"35.60842N, 83.70128W",Chestnut Flats,George W. Powell Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cades Cove (Tenn.)--History,Cades Cove--History,"Cades Cove (Tenn.)--Buildings, structures, etc.",Cades Cove--Structures,,,,Mountain people--Geneology,Mountain people--Geneology,Pioneers--Family relationships,,Pioneer families,Farms,http://id.loc.gov/authorities/subjects/sh85047299,Farms,,,,,,,,,,,,,,,,,,Oliver Family,corporate,Powell Family,corporate,,"Powell, George W.",personal,"Powell, Ann",personal,,,,,,,,,,,,,,,,,,,,,,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Dunn-Oliver Collection, 1730-1988",MS.3695,image,photographs,http://vocab.getty.edu/aat/300046300,zxx,reformatted digital,eng,50 Years in Caves Code
Dunn-Oliver IMG0004,,Primitive Baptist Church House,Circa 1925,1925,,approximate,,Unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,,"""Primitive Baptist Church House. Organized June 16, 1827.""",Cades Cove (Tenn.),http://id.loc.gov/authorities/subjects/sh85018626,"35.59426N, 83.84184W",Cades Cove,Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343N, 83.50822W",Cades Cove Primitive Baptist Church (Tenn.),,"35.60203N, 83.81351W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cades Cove (Tenn.)--History,Cades Cove--History,"Cades Cove (Tenn.)--Buildings, structures, etc.",Cades Cove--Structures,Mountain life,http://id.loc.gov/authorities/subjects/sh85087783,Mountain life,,,,,,,,,,,,,,,,,,,,,,,,,,,corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Dunn-Oliver Collection, 1730-1989",MS.3696,image,photographs,http://vocab.getty.edu/aat/300046300,zxx,reformatted digital,eng,50 Years in Caves Code
Dunn-Oliver IMG0005,,Old Cable Grist Mill,Circa 1925,1925,,approximate,,Unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,,"""Old Cable Grist Mill""",Cades Cove (Tenn.),http://id.loc.gov/authorities/subjects/sh85018626,"35.59426N, 83.84184W",Cades Cove,Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343N, 83.50822W",John P. Cable Mill,,"35.58511N, 83.84447W",Cable Mill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cades Cove (Tenn.)--History,Cades Cove--History,"Cades Cove (Tenn.)--Buildings, structures, etc.",Cades Cove--Structures,Mountain life,http://id.loc.gov/authorities/subjects/sh85087783,Mountain life,,,,,,,,,,,,,,,,,,,,,,,,,,Cable Family,corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Dunn-Oliver Collection, 1730-1990",MS.3697,image,photographs,http://vocab.getty.edu/aat/300046300,zxx,reformatted digital,eng,50 Years in Caves Code
Dunn-Oliver IMG0006,,"Aunt Becca Cable, Old Maid",Circa 1925,1925,,approximate,,Unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,,"""Aunt Becca Cable Old Maid 86""",Cades Cove (Tenn.),http://id.loc.gov/authorities/subjects/sh85018626,"35.59426N, 83.84184W",Cades Cove,Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343N, 83.50822W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cades Cove (Tenn.)--History,Cades Cove--History,"Cades Cove (Tenn.)--Buildings, structures, etc.",Cades Cove--Structures,Mountain life,http://id.loc.gov/authorities/subjects/sh85087783,Mountain life,Mountain people--Geneology,Mountain people--Geneology,,,,,,,,,,,,,,,,,,,,,,,,Cable Family,corporate,"Cable, Becca",personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Dunn-Oliver Collection, 1730-1991",MS.3698,image,photographs,http://vocab.getty.edu/aat/300046300,zxx,reformatted digital,eng,50 Years in Caves Code
Dunn-Oliver IMG0007,,John W. Oliver Delivering Mail in Snow,Circa 1925,1925,,approximate,,Unknown,Creator,http://id.loc.gov/vocabulary/relators/cre,,"""Oliver never failed in more than 32 years service to deliver the goods beginning Oct. 15 1904",Cades Cove (Tenn.),http://id.loc.gov/authorities/subjects/sh85018626,"35.59426N, 83.84184W",Cades Cove,Great Smoky Mountains (N.C. and Tenn.),http://id.loc.gov/authorities/subjects/sh85057008,"35.58343N, 83.50822W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cades Cove (Tenn.)--History,Cades Cove--History,,,Mountain life,http://id.loc.gov/authorities/subjects/sh85087783,Mountain life,Mountain people--Geneology,Mountain people--Geneology,Postal service,http://id.loc.gov/authorities/subjects/sh85105472,Mail,Post office stations and branches,http://id.loc.gov/authorities/subjects/sh85105505,Post offices,,,,,,,,,,,,,,,,,,Oliver Family,corporate,"Oliver, John W.",personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"May be protected by copyright. For more information, contact Special Collections at special@utk.edu.","University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries","Dunn-Oliver Collection, 1730-1992",MS.3699,image,photographs,http://vocab.getty.edu/aat/300046300,zxx,reformatted digital,eng,50 Years in Caves Code
